match_id,season,start_date,venue,innings,ball,batting_team,bowling_team,striker,non_striker,bowler,runs_off_bat,extras,wides,noballs,byes,legbyes,penalty,wicket_type,player_dismissed,other_wicket_type,other_player_dismissed
1416076,2023/24,2024-02-14,Pallekele International Cricket Stadium,1,0.1,Afghanistan,Sri Lanka,Rahmanullah Gurbaz,Ibrahim Zadran,D Madushanka,0,0,,,,,,,,,
1416076,2023/24,2024-02-14,Pallekele International Cricket Stadium,1,0.2,Afghanistan,Sri Lanka,Rahmanullah Gurbaz,Ibrahim Zadran,D Madushanka,4,0,,,,,,,,,
1416076,2023/24,2024-02-14,Pallekele International Cricket Stadium,1,0.3,Afghanistan,Sri Lanka,Rahmanullah Gurbaz,Ibrahim Zadran,D Madushanka,4,0,,,,,,,,,
1416076,2023/24,2024-02-14,Pallekele International Cricket Stadium,1,0.4,Afghanistan,Sri Lanka,Rahmanullah Gurbaz,Ibrahim Zadran,D Madushanka,4,0,,,,,,,,,
1416076,2023/24,2024-02-14,Pallekele International Cricket Stadium,1,0.5,Afghanistan,Sri Lanka,Rahmanullah Gurbaz,Ibrahim Zadran,D Madushanka,4,0,,,,,,,,,
1416076,2023/24,2024-02-14,Pallekele International Cricket Stadium,1,0.6,Afghanistan,Sri Lanka,Rahmanullah Gurbaz,Ibrahim Zadran,D Madushanka,1,0,,,,,,,,,
1416076,2023/24,2024-02-14,Pallekele International Cricket Stadium,1,1.1,Afghanistan,Sri Lanka,Rahmanullah Gurbaz,Ibrahim Zadran,PM Liyanagamage,0,0,,,,,,,,,
1416076,2023/24,2024-02-14,Pallekele International Cricket Stadium,1,1.2,Afghanistan,Sri Lanka,Rahmanullah Gurbaz,Ibrahim Zadran,PM Liyanagamage,0,0,,,,,,,,,
1416076,2023/24,2024-02-14,Pallekele International Cricket Stadium,1,1.3,Afghanistan,Sri Lanka,Rahmanullah Gurbaz,Ibrahim Zadran,PM Liyanagamage,0,0,,,,,,,,,
1416076,2023/24,2024-02-14,Pallekele International Cricket Stadium,1,1.4,Afghanistan,Sri Lanka,Rahmanullah Gurbaz,Ibrahim Zadran,PM Liyanagamage,0,0,,,,,,,,,
1416076,2023/24,2024-02-14,Pallekele International Cricket Stadium,1,1.5,Afghanistan,Sri Lanka,Rahmanullah Gurbaz,Ibrahim Zadran,PM Liyanagamage,0,0,,,,,,,,,
1416076,2023/24,2024-02-14,Pallekele International Cricket Stadium,1,1.6,Afghanistan,Sri Lanka,Rahmanullah Gurbaz,Ibrahim Zadran,PM Liyanagamage,1,0,,,,,,,,,
1416076,2023/24,2024-02-14,Pallekele International Cricket Stadium,1,2.1,Afghanistan,Sri Lanka,Rahmanullah Gurbaz,Ibrahim Zadran,D Madushanka,1,0,,,,,,,,,
1416076,2023/24,2024-02-14,Pallekele International Cricket Stadium,1,2.2,Afghanistan,Sri Lanka,Ibrahim Zadran,Rahmanullah Gurbaz,D Madushanka,4,0,,,,,,,,,
1416076,2023/24,2024-02-14,Pallekele International Cricket Stadium,1,2.3,Afghanistan,Sri Lanka,Ibrahim Zadran,Rahmanullah Gurbaz,D Madushanka,0,0,,,,,,,,,
1416076,2023/24,2024-02-14,Pallekele International Cricket Stadium,1,2.4,Afghanistan,Sri Lanka,Ibrahim Zadran,Rahmanullah Gurbaz,D Madushanka,1,0,,,,,,,,,
1416076,2023/24,2024-02-14,Pallekele International Cricket Stadium,1,2.5,Afghanistan,Sri Lanka,Rahmanullah Gurbaz,Ibrahim Zadran,D Madushanka,0,0,,,,,,,,,
1416076,2023/24,2024-02-14,Pallekele International Cricket Stadium,1,2.6,Afghanistan,Sri Lanka,Rahmanullah Gurbaz,Ibrahim Zadran,D Madushanka,0,0,,,,,,,,,
1416076,2023/24,2024-02-14,Pallekele International Cricket Stadium,1,3.1,Afghanistan,Sri Lanka,Ibrahim Zadran,Rahmanullah Gurbaz,PM Liyanagamage,0,0,,,,,,,,,
1416076,2023/24,2024-02-14,Pallekele International Cricket Stadium,1,3.2,Afghanistan,Sri Lanka,Ibrahim Zadran,Rahmanullah Gurbaz,PM Liyanagamage,0,4,,,,4,,,,,
1416076,2023/24,2024-02-14,Pallekele International Cricket Stadium,1,3.3,Afghanistan,Sri Lanka,Ibrahim Zadran,Rahmanullah Gurbaz,PM Liyanagamage,4,0,,,,,,,,,
1416076,2023/24,2024-02-14,Pallekele International Cricket Stadium,1,3.4,Afghanistan,Sri Lanka,Ibrahim Zadran,Rahmanullah Gurbaz,PM Liyanagamage,0,0,,,,,,,,,
