match_id,season,start_date,venue,innings,ball,batting_team,bowling_team,striker,non_striker,bowler,runs_off_bat,extras,wides,noballs,byes,legbyes,penalty,wicket_type,player_dismissed,other_wicket_type,other_player_dismissed
1384421,2023/24,2023-10-30,"Maharashtra Cricket Association Stadium, Pune",1,0.1,Sri Lanka,Afghanistan,P Nissanka,FDM Karunaratne,Mujeeb Ur Rahman,0,0,,,,,,,,,
1384421,2023/24,2023-10-30,"Maharashtra Cricket Association Stadium, Pune",1,0.2,Sri Lanka,Afghanistan,P Nissanka,FDM Karunaratne,Mujeeb Ur Rahman,1,0,,,,,,,,,
1384421,2023/24,2023-10-30,"Maharashtra Cricket Association Stadium, Pune",1,0.3,Sri Lanka,Afghanistan,FDM Karunaratne,P Nissanka,Mujeeb Ur Rahman,0,0,,,,,,,,,
1384421,2023/24,2023-10-30,"Maharashtra Cricket Association Stadium, Pune",1,0.4,Sri Lanka,Afghanistan,FDM Karunaratne,P Nissanka,Mujeeb Ur Rahman,1,0,,,,,,,,,
1384421,2023/24,2023-10-30,"Maharashtra Cricket Association Stadium, Pune",1,0.5,Sri Lanka,Afghanistan,P Nissanka,FDM Karunaratne,Mujeeb Ur Rahman,1,0,,,,,,,,,
1384421,2023/24,2023-10-30,"Maharashtra Cricket Association Stadium, Pune",1,0.6,Sri Lanka,Afghanistan,FDM Karunaratne,P Nissanka,Mujeeb Ur Rahman,1,0,,,,,,,,,
1384421,2023/24,2023-10-30,"Maharashtra Cricket Association Stadium, Pune",1,1.1,Sri Lanka,Afghanistan,FDM Karunaratne,P Nissanka,Fazalhaq Farooqi,0,0,,,,,,,,,
1384421,2023/24,2023-10-30,"Maharashtra Cricket Association Stadium, Pune",1,1.2,Sri Lanka,Afghanistan,FDM Karunaratne,P Nissanka,Fazalhaq Farooqi,0,0,,,,,,,,,
1384421,2023/24,2023-10-30,"Maharashtra Cricket Association Stadium, Pune",1,1.3,Sri Lanka,Afghanistan,FDM Karunaratne,P Nissanka,Fazalhaq Farooqi,0,0,,,,,,,,,
1384421,2023/24,2023-10-30,"Maharashtra Cricket Association Stadium, Pune",1,1.4,Sri Lanka,Afghanistan,FDM Karunaratne,P Nissanka,Fazalhaq Farooqi,0,0,,,,,,,,,
