match_id,season,start_date,venue,innings,ball,batting_team,bowling_team,striker,non_striker,bowler,runs_off_bat,extras,wides,noballs,byes,legbyes,penalty,wicket_type,player_dismissed,other_wicket_type,other_player_dismissed
1384425,2023/24,2023-11-03,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",1,0.1,Netherlands,Afghanistan,W Barresi,MP O'Dowd,Mujeeb Ur Rahman,0,0,,,,,,,,,
1384425,2023/24,2023-11-03,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",1,0.2,Netherlands,Afghanistan,W Barresi,MP O'Dowd,Mujeeb Ur Rahman,0,0,,,,,,,,,
1384425,2023/24,2023-11-03,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",1,0.3,Netherlands,Afghanistan,W Barresi,MP O'Dowd,Mujeeb Ur Rahman,1,0,,,,,,,,,
1384425,2023/24,2023-11-03,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",1,0.4,Netherlands,Afghanistan,MP O'Dowd,W Barresi,Mujeeb Ur Rahman,1,0,,,,,,,,,
1384425,2023/24,2023-11-03,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",1,0.5,Netherlands,Afghanistan,W Barresi,MP O'Dowd,Mujeeb Ur Rahman,0,1,1,,,,,,,,
1384425,2023/24,2023-11-03,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",1,0.6,Netherlands,Afghanistan,W Barresi,MP O'Dowd,Mujeeb Ur Rahman,0,0,,,,,,lbw,W Barresi,,
1384425,2023/24,2023-11-03,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",1,0.7,Netherlands,Afghanistan,CN Ackermann,MP O'Dowd,Mujeeb Ur Rahman,0,0,,,,,,,,,
1384425,2023/24,2023-11-03,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",1,1.1,Netherlands,Afghanistan,MP O'Dowd,CN Ackermann,Fazalhaq Farooqi,0,0,,,,,,,,,
1384425,2023/24,2023-11-03,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",1,1.2,Netherlands,Afghanistan,MP O'Dowd,CN Ackermann,Fazalhaq Farooqi,4,0,,,,,,,,,
1384425,2023/24,2023-11-03,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",1,1.3,Netherlands,Afghanistan,MP O'Dowd,CN Ackermann,Fazalhaq Farooqi,0,0,,,,,,,,,
1384425,2023/24,2023-11-03,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",1,1.4,Netherlands,Afghanistan,MP O'Dowd,CN Ackermann,Fazalhaq Farooqi,1,0,,,,,,,,,
1384425,2023/24,2023-11-03,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",1,1.5,Netherlands,Afghanistan,CN Ackermann,MP O'Dowd,Fazalhaq Farooqi,0,0,,,,,,,,,
1384425,2023/24,2023-11-03,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",1,1.6,Netherlands,Afghanistan,CN Ackermann,MP O'Dowd,Fazalhaq Farooqi,1,0,,,,,,,,,
1384425,2023/24,2023-11-03,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",1,2.1,Netherlands,Afghanistan,CN Ackermann,MP O'Dowd,Mujeeb Ur Rahman,1,0,,,,,,,,,
1384425,2023/24,2023-11-03,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",1,2.2,Netherlands,Afghanistan,MP O'Dowd,CN Ackermann,Mujeeb Ur Rahman,0,0,,,,,,,,,
1384425,2023/24,2023-11-03,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",1,2.3,Netherlands,Afghanistan,MP O'Dowd,CN Ackermann,Mujeeb Ur Rahman,0,0,,,,,,,,,
