match_id,season,start_date,venue,innings,ball,batting_team,bowling_team,striker,non_striker,bowler,runs_off_bat,extras,wides,noballs,byes,legbyes,penalty,wicket_type,player_dismissed,other_wicket_type,other_player_dismissed
1444772,2024/25,2024-10-04,"Senwes Park, Potchefstroom",1,0.1,Western Province,North West,EM Moore,DG Bedingham,M Jansen,1,0,,,,,,,,,
1444772,2024/25,2024-10-04,"Senwes Park, Potchefstroom",1,0.2,Western Province,North West,DG Bedingham,EM Moore,M Jansen,0,0,,,,,,,,,
1444772,2024/25,2024-10-04,"Senwes Park, Potchefstroom",1,0.3,Western Province,North West,DG Bedingham,EM Moore,M Jansen,0,0,,,,,,,,,
1444772,2024/25,2024-10-04,"Senwes Park, Potchefstroom",1,0.4,Western Province,North West,DG Bedingham,EM Moore,M Jansen,4,0,,,,,,,,,
1444772,2024/25,2024-10-04,"Senwes Park, Potchefstroom",1,0.5,Western Province,North West,DG Bedingham,EM Moore,M Jansen,0,0,,,,,,caught,DG Bedingham,,
1444772,2024/25,2024-10-04,"Senwes Park, Potchefstroom",1,0.6,Western Province,North West,SV Kitime,EM Moore,M Jansen,4,0,,,,,,,,,
1444772,2024/25,2024-10-04,"Senwes Park, Potchefstroom",1,1.1,Western Province,North West,EM Moore,SV Kitime,K Mungroo,1,0,,,,,,,,,
1444772,2024/25,2024-10-04,"Senwes Park, Potchefstroom",1,1.2,Western Province,North West,SV Kitime,EM Moore,K Mungroo,1,0,,,,,,,,,
1444772,2024/25,2024-10-04,"Senwes Park, Potchefstroom",1,1.3,Western Province,North West,EM Moore,SV Kitime,K Mungroo,2,0,,,,,,,,,
1444772,2024/25,2024-10-04,"Senwes Park, Potchefstroom",1,1.4,Western Province,North West,EM Moore,SV Kitime,K Mungroo,1,0,,,,,,,,,
1444772,2024/25,2024-10-04,"Senwes Park, Potchefstroom",1,1.5,Western Province,North West,SV Kitime,EM Moore,K Mungroo,0,0,,,,,,,,,
1444772,2024/25,2024-10-04,"Senwes Park, Potchefstroom",1,1.6,Western Province,North West,SV Kitime,EM Moore,K Mungroo,0,0,,,,,,,,,
1444772,2024/25,2024-10-04,"Senwes Park, Potchefstroom",1,2.1,Western Province,North West,EM Moore,SV Kitime,M Jansen,1,0,,,,,,,,,
1444772,2024/25,2024-10-04,"Senwes Park, Potchefstroom",1,2.2,Western Province,North West,SV Kitime,EM Moore,M Jansen,0,0,,,,,,,,,
1444772,2024/25,2024-10-04,"Senwes Park, Potchefstroom",1,2.3,Western Province,North West,SV Kitime,EM Moore,M Jansen,0,0,,,,,,,,,
1444772,2024/25,2024-10-04,"Senwes Park, Potchefstroom",1,2.4,Western Province,North West,SV Kitime,EM Moore,M Jansen,3,0,,,,,,,,,
1444772,2024/25,2024-10-04,"Senwes Park, Potchefstroom",1,2.5,Western Province,North West,EM Moore,SV Kitime,M Jansen,0,0,,,,,,,,,
1444772,2024/25,2024-10-04,"Senwes Park, Potchefstroom",1,2.6,Western Province,North West,EM Moore,SV Kitime,M Jansen,4,0,,,,,,,,,
1444772,2024/25,2024-10-04,"Senwes Park, Potchefstroom",1,3.1,Western Province,North West,SV Kitime,EM Moore,K Mungroo,0,0,,,,,,,,,
1444772,2024/25,2024-10-04,"Senwes Park, Potchefstroom",1,3.2,Western Province,North West,SV Kitime,EM Moore,K Mungroo,0,0,,,,,,,,,
1444772,2024/25,2024-10-04,"Senwes Park, Potchefstroom",1,3.3,Western Province,North West,SV Kitime,EM Moore,K Mungroo,1,0,,,,,,,,,
1444772,2024/25,2024-10-04,"Senwes Park, Potchefstroom",1,3.4,Western Province,North West,EM Moore,SV Kitime,K Mungroo,1,0,,,,,,,,,
1444772,2024/25,2024-10-04,"Senwes Park, Potchefstroom",1,3.5,Western Province,North West,SV Kitime,EM Moore,K Mungroo,0,1,1,,,,,,,,
1444772,2024/25,2024-10-04,"Senwes Park, Potchefstroom",1,3.6,Western Province,North West,SV Kitime,EM Moore,K Mungroo,1,0,,,,,,,,,
1444772,2024/25,2024-10-04,"Senwes Park, Potchefstroom",1,3.7,Western Province,North West,EM Moore,SV Kitime,K Mungroo,0,0,,,,,,,,,
1444772,2024/25,2024-10-04,"Senwes Park, Potchefstroom",1,4.1,Western Province,North West,SV Kitime,EM Moore,D Jansen,4,0,,,,,,,,,
1444772,2024/25,2024-10-04,"Senwes Park, Potchefstroom",1,4.2,Western Province,North West,SV Kitime,EM Moore,D Jansen,0,0,,,,,,,,,
1444772,2024/25,2024-10-04,"Senwes Park, Potchefstroom",1,4.3,Western Province,North West,SV Kitime,EM Moore,D Jansen,0,1,1,,,,,,,,
1444772,2024/25,2024-10-04,"Senwes Park, Potchefstroom",1,4.4,Western Province,North West,SV Kitime,EM Moore,D Jansen,0,0,,,,,,,,,
1444772,2024/25,2024-10-04,"Senwes Park, Potchefstroom",1,4.5,Western Province,North West,SV Kitime,EM Moore,D Jansen,0,0,,,,,,,,,
1444772,2024/25,2024-10-04,"Senwes Park, Potchefstroom",1,4.6,Western Province,North West,SV Kitime,EM Moore,D Jansen,2,0,,,,,,,,,
1444772,2024/25,2024-10-04,"Senwes Park, Potchefstroom",1,4.7,Western Province,North West,SV Kitime,EM Moore,D Jansen,0,0,,,,,,caught,SV Kitime,,
1444772,2024/25,2024-10-04,"Senwes Park, Potchefstroom",1,5.1,Western Province,North West,EM Moore,D Smith,K Mungroo,1,0,,,,,,,,,
1444772,2024/25,2024-10-04,"Senwes Park, Potchefstroom",1,5.2,Western Province,North West,D Smith,EM Moore,K Mungroo,1,0,,,,,,,,,
1444772,2024/25,2024-10-04,"Senwes Park, Potchefstroom",1,5.3,Western Province,North West,EM Moore,D Smith,K Mungroo,0,0,,,,,,,,,
1444772,2024/25,2024-10-04,"Senwes Park, Potchefstroom",1,5.4,Western Province,North West,EM Moore,D Smith,K Mungroo,0,0,,,,,,,,,
1444772,2024/25,2024-10-04,"Senwes Park, Potchefstroom",1,5.5,Western Province,North West,EM Moore,D Smith,K Mungroo,4,0,,,,,,,,,
1444772,2024/25,2024-10-04,"Senwes Park, Potchefstroom",1,5.6,Western Province,North West,EM Moore,D Smith,K Mungroo,1,0,,,,,,,,,
1444772,2024/25,2024-10-04,"Senwes Park, Potchefstroom",1,6.1,Western Province,North West,EM Moore,D Smith,D Jansen,0,0,,,,,,,,,
1444772,2024/25,2024-10-04,"Senwes Park, Potchefstroom",1,6.2,Western Province,North West,EM Moore,D Smith,D Jansen,1,0,,,,,,,,,
1444772,2024/25,2024-10-04,"Senwes Park, Potchefstroom",1,6.3,Western Province,North West,D Smith,EM Moore,D Jansen,1,0,,,,,,,,,
1444772,2024/25,2024-10-04,"Senwes Park, Potchefstroom",1,6.4,Western Province,North West,EM Moore,D Smith,D Jansen,0,0,,,,,,,,,
1444772,2024/25,2024-10-04,"Senwes Park, Potchefstroom",1,6.5,Western Province,North West,EM Moore,D Smith,D Jansen,1,0,,,,,,,,,
1444772,2024/25,2024-10-04,"Senwes Park, Potchefstroom",1,6.6,Western Province,North West,D Smith,EM Moore,D Jansen,1,0,,,,,,,,,
1444772,2024/25,2024-10-04,"Senwes Park, Potchefstroom",1,7.1,Western Province,North West,D Smith,EM Moore,A Cloete,0,0,,,,,,,,,
1444772,2024/25,2024-10-04,"Senwes Park, Potchefstroom",1,7.2,Western Province,North West,D Smith,EM Moore,A Cloete,1,0,,,,,,,,,
1444772,2024/25,2024-10-04,"Senwes Park, Potchefstroom",1,7.3,Western Province,North West,EM Moore,D Smith,A Cloete,4,0,,,,,,,,,
1444772,2024/25,2024-10-04,"Senwes Park, Potchefstroom",1,7.4,Western Province,North West,EM Moore,D Smith,A Cloete,4,0,,,,,,,,,
1444772,2024/25,2024-10-04,"Senwes Park, Potchefstroom",1,7.5,Western Province,North West,EM Moore,D Smith,A Cloete,4,0,,,,,,,,,
1444772,2024/25,2024-10-04,"Senwes Park, Potchefstroom",1,7.6,Western Province,North West,EM Moore,D Smith,A Cloete,1,0,,,,,,,,,
1444772,2024/25,2024-10-04,"Senwes Park, Potchefstroom",1,8.1,Western Province,North West,EM Moore,D Smith,WJ Lubbe,1,0,,,,,,,,,
1444772,2024/25,2024-10-04,"Senwes Park, Potchefstroom",1,8.2,Western Province,North West,D Smith,EM Moore,WJ Lubbe,2,0,,,,,,,,,
1444772,2024/25,2024-10-04,"Senwes Park, Potchefstroom",1,8.3,Western Province,North West,D Smith,EM Moore,WJ Lubbe,0,0,,,,,,,,,
1444772,2024/25,2024-10-04,"Senwes Park, Potchefstroom",1,8.4,Western Province,North West,D Smith,EM Moore,WJ Lubbe,2,0,,,,,,,,,
1444772,2024/25,2024-10-04,"Senwes Park, Potchefstroom",1,8.5,Western Province,North West,D Smith,EM Moore,WJ Lubbe,1,0,,,,,,,,,
1444772,2024/25,2024-10-04,"Senwes Park, Potchefstroom",1,8.6,Western Province,North West,EM Moore,D Smith,WJ Lubbe,1,0,,,,,,,,,
1444772,2024/25,2024-10-04,"Senwes Park, Potchefstroom",1,9.1,Western Province,North West,EM Moore,D Smith,D Jansen,0,0,,,,,,,,,
1444772,2024/25,2024-10-04,"Senwes Park, Potchefstroom",1,9.2,Western Province,North West,EM Moore,D Smith,D Jansen,2,0,,,,,,,,,
1444772,2024/25,2024-10-04,"Senwes Park, Potchefstroom",1,9.3,Western Province,North West,EM Moore,D Smith,D Jansen,1,0,,,,,,,,,
1444772,2024/25,2024-10-04,"Senwes Park, Potchefstroom",1,9.4,Western Province,North West,D Smith,EM Moore,D Jansen,0,1,,,,1,,,,,
1444772,2024/25,2024-10-04,"Senwes Park, Potchefstroom",1,9.5,Western Province,North West,EM Moore,D Smith,D Jansen,0,0,,,,,,,,,
1444772,2024/25,2024-10-04,"Senwes Park, Potchefstroom",1,9.6,Western Province,North West,EM Moore,D Smith,D Jansen,0,1,1,,,,,,,,
1444772,2024/25,2024-10-04,"Senwes Park, Potchefstroom",1,9.7,Western Province,North West,EM Moore,D Smith,D Jansen,0,1,1,,,,,,,,
